title,pmid,abstract
Gene Conversion Facilitates the Adaptive Evolution of Self-Resistance in Highly Toxic Newts.,34129031,"Reconstructing the histories of complex adaptations and identifying the evolutionary mechanisms underlying their origins are two of the primary goals of evolutionary biology. Taricha newts, which contain high concentrations of the deadly toxin tetrodotoxin (TTX) as an antipredator defense, have evolved resistance to self-intoxication, which is a complex adaptation requiring changes in six paralogs of the voltage-gated sodium channel (Nav) gene family, the physiological target of TTX. Here, we reconstruct the origins of TTX self-resistance by sequencing the entire Nav gene family in newts and related salamanders. We show that moderate TTX resistance evolved early in the salamander lineage in three of the six Nav paralogs, preceding the proposed appearance of tetrodotoxic newts by ∼100 My. TTX-bearing newts possess additional unique substitutions across the entire Nav gene family that provide physiological TTX resistance. These substitutions coincide with signatures of positive selection and relaxed purifying selection, as well as gene conversion events, that together likely facilitated their evolution. We also identify a novel exon duplication within Nav1.4 encoding an expressed TTX-binding site. Two resistance-conferring changes within newts appear to have spread via nonallelic gene conversion: in one case, one codon was copied between paralogs, and in the second, multiple substitutions were homogenized between the duplicate exons of Nav1.4. Our results demonstrate that gene conversion can accelerate the coordinated evolution of gene families in response to a common selection pressure."
The sporothriolides. A new biosynthetic family of fungal secondary metabolites.,34123230,"The biosynthetic gene cluster of the antifungal metabolite sporothriolide 1 was identified from three producing ascomycetes: Hypomontagnella monticulosa MUCL 54604, H. spongiphila CLL 205 and H. submonticulosa DAOMC 242471. A transformation protocol was established, and genes encoding a fatty acid synthase subunit and a citrate synthase were simultaneously knocked out which led to loss of sporothriolide and sporochartine production. In vitro reactions showed that the sporochartines are derived from non-enzymatic Diels-Alder cycloaddition of 1 and trienylfuranol A 7 during the fermentation and extraction process. Heterologous expression of the spo genes in Aspergillus oryzae then led to the production of intermediates and shunts and delineation of a new fungal biosynthetic pathway originating in fatty acid biosynthesis. Finally, a hydrolase was revealed by in vitro studies likely contributing towards self-resistance of the producer organism."
Structural Basis for the Interactions of the Colibactin Resistance Gene Product ClbS with DNA.,33945270,"The natural product colibactin, along with its associated biosynthetic gene cluster, is an example system for the role microbially derived small molecules play in the human microbiome. This is particularly relevant in the human gut, where host microbiota is involved in various disorders, including colorectal cancer pathogenesis. Bacteria harboring the colibactin gene cluster induce alkylation of nucleobases in host DNA, forming interstrand cross-links both in vivo and in vitro. These lesions can lead to deleterious double-strand breaks and have been identified as the primary mechanism of colibactin-induced cytotoxicity. The gene product ClbS is one of several mechanisms utilized by the producing bacteria to maintain genome integrity. ClbS catalyzes hydrolytic inactivation of colibactin and has been shown to bind DNA, incurring self-resistance. Presented is the molecular basis for ClbS bound to a DNA oligonucleotide. The structure shows the interaction of the protein with the ends of a DNA duplex with terminal nucleotides flipped to the enzyme active site. The structure suggests an additional function for ClbS, the binding to damaged DNA followed by repair. Additionally, our study provides general insight into the function of the widely distributed and largely uncharacterized DUF1706 protein family."
Targeted Genome Mining Reveals the Biosynthetic Gene Clusters of Natural Product CYP51 Inhibitors.,33857369,"Lanosterol 14α-demethylase (CYP51) is an important target in the development of antifungal drugs. The fungal-derived restricticin 1 and related molecules are the only examples of natural products that inhibit CYP51. Here, using colocalizations of genes encoding self-resistant CYP51 as the query, we identified and validated the biosynthetic gene cluster (BGC) of 1. Additional genome mining of related BGCs with CYP51 led to production of the related lanomycin 2. The pathways for both 1 and 2 were identified from fungi not known to produce these compounds, highlighting the promise of the self-resistance enzyme (SRE) guided approach to bioactive natural product discovery."
Redox Modifications in the Biosynthesis of Alchivemycin A Enable the Formation of Its Key Pharmacophore.,33736434,"Redox enzymes play a critical role in transforming nascent scaffolds into structurally complex and biologically active natural products. Alchivemycin A (AVM, 1) is a highly oxidized polycyclic compound with potent antimicrobial activity and features a rare 2H-tetrahydro-4,6-dioxo-1,2-oxazine (TDO) ring system. The scaffold of AVM has previously been shown to be biosynthesized by a hybrid polyketide synthase-nonribosomal peptide synthetase (PKS-NRPS) pathway. In this study, we present a postassembly secondary metabolic network involving six redox enzymes that leads to AVM formation. We characterize this complex redox network using in vivo gene deletions, in vitro biochemical assays, and one-pot enzymatic total synthesis. Importantly, we show that an FAD-dependent monooxygenase catalyzes oxygen insertion into an amide bond to form the key TDO ring in AVM, an unprecedented function of flavoenzymes. We also show that the TDO ring is essential to the antimicrobial activity of AVM, likely through targeting the β-subunit of RNA polymerase. As further evidence, we show that AvmK, a β-subunit of RNA synthase, can confer self-resistance to AVM via target modification. Our findings expand the repertoire of functions of flavoenzymes and provide insight into antimicrobial and biocatalyst development based on AVM."
"Selective Isolation of Multidrug-Resistant Pedobacter spp., Producers of Novel Antibacterial Peptides.",33717041,"Twenty-eight multidrug-resistant bacterial strains closely related or identical to Pedobacter cryoconitis, Pedobacter lusitanus and Pedobacter steynii were isolated from soil samples by selection for multidrug-resistance. Approximately 3-30% of the selected isolates were identified as Pedobacter, whereas isolation without antibiotics did not yield any isolates of this genus. Next generation sequencing data showed Pedobacter to be on 69th place among the bacterial genera (0.32% of bacterial sequences). The Pedobacter isolates produced a wide array of novel compounds when screened by UHPLC-MS/MSMS, and hierarchical cluster analysis resulted in several distinct clusters of compounds produced by specific isolates of Pedobacter, and most of these compounds were found to be peptides. The Pedobacter strain UP508 produced isopedopeptins, whereas another set of strains produced pedopeptins, which both are known cyclic lipodepsipeptides produced by Pedobacter sp. Other Pedobacter strains produced analogous peptides with a sequence variation. Further strains of Pedobacter produced additional novel antibacterial cyclic lipopeptides (ca 800 or 1400 Da in size) and/or linear lipopeptides (ca 700-960 Da in size). A 16S rRNA phylogenetic tree for the Pedobacter isolates revealed several distinct clades and subclades of isolates. One of the subclades comprised isolates producing isopedopeptin analogs, but the isopedopeptin producing isolate UP508 was clearly placed on a separate branch. We suggest that the non-ribosomal peptide synthases producing pedopeptins, isopedopeptins, and the analogous peptides, may derive from a common ancestral non-ribosomal peptide synthase gene cluster, which may have been subjected to a mutation leading to changed specificity in one of the modules and then to a modular rearrangement leading to the changed sequence found in the isopedopeptins produced by isolate UP508."
"Resistance-Nodulation-Division Efflux Pump, LexABC, Contributes to Self-Resistance of the Phenazine Di-N-Oxide Natural Product Myxin in Lysobacter antibioticus.",33679640,"Antibiotic-producing microorganisms have developed several self-resistance mechanisms to protect them from autotoxicity. Transporters belonging to the resistance- nodulation-division (RND) superfamily commonly confer multidrug resistance in Gram-negative bacteria. Phenazines are heterocyclic, nitrogen-containing and redox-active compounds that exhibit diverse activities. We previously identified six phenazines from Lysobacter antibioticus OH13, a soil bacterium emerging as a potential biocontrol agent. Among these phenazines, myxin, a di-N-oxide phenazine, exhibited potent activity against a variety of microorganisms. In this study, we identified a novel RND efflux pump gene cluster, designated lexABC, which is located far away in the genome from the myxin biosynthesis gene cluster. We found a putative LysR-type transcriptional regulator encoding gene lexR, which was adjacent to lexABC. Deletion of lexABC or lexR gene resulted in significant increasing susceptibility of strains to myxin and loss of myxin production. The results demonstrated that LexABC pump conferred resistance against myxin. The myxin produced at lower concentrations in these mutants was derivatized by deoxidation and O-methylation. Furthermore, we found that the abolishment of myxin with deletion of LaPhzB, which is an essential gene in myxin biosynthesis, resulted in significant downregulation of the lexABC. However, exogenous supplementation with myxin to LaPhzB mutant could efficiently induce the expression of lexABC genes. Moreover, lexR mutation also led to decreased expression of lexABC, which indicates that LexR potentially positively modulated the expression of lexABC. Our findings reveal a resistance mechanism against myxin of L. antibioticus, which coordinates regulatory pathways to protect itself from autotoxicity."
Cryptic phosphorylation in nucleoside natural product biosynthesis.,33257873,"Kinases are annotated in many nucleoside biosynthetic gene clusters but generally are considered responsible only for self-resistance. Here, we report an unexpected 2'-phosphorylation of nucleoside biosynthetic intermediates in the nikkomycin and polyoxin pathways. This phosphorylation is a unique cryptic modification as it is introduced in the third of seven steps during aminohexuronic acid (AHA) nucleoside biosynthesis, retained throughout the pathway's duration, and is removed in the last step of the pathway. Bioinformatic analysis of reported nucleoside biosynthetic gene clusters indicates the presence of cryptic phosphorylation in other pathways and the importance of functional characterization of kinases in nucleoside biosynthetic pathways in general. This study also functionally characterized all of the enzymes responsible for AHA biosynthesis and revealed that AHA is constructed via a unique oxidative C-C bond cleavage reaction. The results indicate a divergent biosynthetic mechanism for three classes of antifungal nucleoside natural products."
Resistance-Guided Discovery of Elfamycin Antibiotic Producers with Antigonococcal Activity.,33164482,"The rise of bacterial antibiotic resistance coupled with a diminished antibiotic drug pipeline underlines the importance of developing rational strategies to discover new antimicrobials. Microbially derived natural products are the basis for most of the antibiotic arsenal available to modern medicine. Here, we demonstrate a resistance-based approach to identify producers of elfamycins, an under-explored class of natural product antibiotics that target the essential translation factor EF-Tu. Antibiotic producers carry self-resistance genes to avoid suicide. These genes are often found within the same biosynthetic gene cluster (BGC) responsible for making the antibiotic, and we exploited this trait to identify members of the kirromycin class of elfamycin producers. Genome mining of Streptomyces spp. led to the identification of three isolates that harbor kirromycin-resistant EF-Tu (EF-TuKirR) within predicted natural product BGCs. Activity-guided purification on extracts of one of the Streptomyces isolates, which was not known to produce an elfamycin, identified it as a producer of phenelfamycin B, a linear polyketide. Phenelfamycin B demonstrates impressive antibacterial activity (MIC ∼ 1 μg/mL) against multidrug-resistant Neisseria gonorrhoeae, a clinically important Gram negative pathogen. The antigonococcal activity of phenelfamycin was shown to be the result of inhibition of protein biosynthesis by binding to EF-Tu. These results indicate that a resistance-based approach of identifying elfamycin producers is translatable to other antibiotic classes that can identify new and overlooked antibiotics necessary to address the antibiotic crisis."
Structural and functional comparison of Saccharomonospora azurea strains in terms of primycin producing ability.,32989522,"Emerging and re-emerging microbial pathogens, together with their rapid evolution and adaptation against antibiotics, highlight the importance not only of screening for new antimicrobial agents, but also for deepening knowledge about existing antibiotics. Primycin is a large 36-membered non-polyene macrolide lactone exclusively produced by Saccharomonospora azurea. This study provides information about strain dependent primycin production ability in conjunction with the structural, functional and comparative genomic examinations. Comparison of high- and low-primycin producer strains, transcriptomic analysis identified a total of 686 differentially expressed genes (DEGs), classified into diverse Cluster of Orthologous Groups. Among them, genes related to fatty acid synthesis, self-resistance, regulation of secondary metabolism and agmatinase encoding gene responsible for catalyze conversion between guanidino/amino forms of primycin were discussed. Based on in silico data mining methods, we were able to identify DEGs whose altered expression provide a good starting point for the optimization of fermentation processes, in order to perform targeted strain improvement and rational drug design."
Identification of the Antifungal Metabolite Chaetoglobosin P From Discosia rubi Using a Cryptococcus neoformans Inhibition Assay: Insights Into Mode of Action and Biosynthesis.,32849391,"Cryptococcus neoformans is an important human pathogen with limited options for treatments. We have interrogated extracts from fungal fermentations to find Cryptococcus-inhibiting natural products using assays for growth inhibition, differential thermosensitivity, and synergy with existing antifungal drugs. Extracts from fermentations of strains of Discosia rubi from eastern Texas showed anticryptococcal bioactivity with preferential activity in agar zone of inhibition assays against C. neoformans at 37°C versus 25°C. Assay-guided fractionation led to the purification and identification of chaetoglobosin P as the active component of these extracts. Genome sequencing of these strains revealed a biosynthetic gene cluster consistent with chaetoglobosin biosynthesis and β-methylation of the tryptophan residue. Proximity of genes of the actin-binding protein twinfilin-1 to the chaetoglobosin P and K gene clusters suggested a possible self-resistance mechanism involving twinfilin-1 which is consistent with the predicted mechanism of action involving interference with the polymerization of the capping process of filamentous actin. A C. neoformans mutant lacking twinfilin-1 was hypersensitive to chaetoglobosin P. Chaetoglobosins also potentiated the effects of amphotericin B and caspofungin on C. neoformans."
Glycopeptide Antibiotic Resistance Genes: Distribution and Function in the Producer Actinomycetes.,32655512,"Glycopeptide antibiotics (GPAs) are considered drugs of ""last resort"" for the treatment of life-threatening infections caused by relevant Gram-positive pathogens (enterococci, staphylococci, and clostridia). Driven by the issue of the never-stopping evolution of bacterial antibiotic resistance, research on GPA biosynthesis and resistance is developing fast in modern ""post-genomic"" era. It is today widely accepted that resistance mechanisms emerging in pathogens have been acquired from the soil-dwelling antibiotic-producing actinomycetes, which use them to avoid suicide during production, rather than being orchestrated de novo by pathogen bacteria upon continued treatment. Actually, more and more genomes of GPA producers are being unraveled, carrying a broad collection of differently arranged GPA resistance (named van) genes. In the producer actinomycetes, van genes are generally associated with the antibiotic biosynthetic gene clusters (BGCs) deputed to GPA biosynthesis, being probably transferred/arranged together, favoring a possible co-regulation between antibiotic production and self-resistance. GPA BGC-associated van genes have been also found mining public databases of bacterial genomic and metagenomic sequences. Interestingly, some BGCs for antibiotics, seemingly unrelated to GPAs (e.g., feglymycin), carry van gene homologues. Herein, we would like to cover the recent advances on the distribution of GPA resistance genes in genomic and metagenomics datasets related to GPA potential/proved producer microorganisms. A thorough understanding of GPA resistance in the producing microorganisms may prove useful in the future surveillance of emerging mechanisms of resistance to this clinically relevant antibiotic class."
Acrophiarin (antibiotic S31794/F-1) from Penicillium arenicola shares biosynthetic features with both Aspergillus- and Leotiomycete-type echinocandins.,32239586,"The antifungal echinocandin lipopeptide, acrophiarin, was circumscribed in a patent in 1979. We confirmed that the producing strain NRRL 8095 is Penicillium arenicola and other strains of P. arenicola produced acrophiarin and acrophiarin analogues. Genome sequencing of NRRL 8095 identified the acrophiarin gene cluster. Penicillium arenicola and echinocandin-producing Aspergillus species belong to the family Aspergillaceae of the Eurotiomycetes, but several features of acrophiarin and its gene cluster suggest a closer relationship with echinocandins from Leotiomycete fungi. These features include hydroxy-glutamine in the peptide core instead of a serine or threonine residue, the inclusion of a non-heme iron, α-ketoglutarate-dependent oxygenase for hydroxylation of the C3 of the glutamine, and a thioesterase. In addition, P. arenicola bears similarity to Leotiomycete echinocandin-producing species because it exhibits self-resistance to exogenous echinocandins. Phylogenetic analysis of the genes of the echinocandin biosynthetic family indicated that most of the predicted proteins of acrophiarin gene cluster exhibited higher similarity to the predicted proteins of the pneumocandin gene cluster of the Leotiomycete Glarea lozoyensis than to those of the echinocandin B gene cluster from A. pachycristatus. The fellutamide gene cluster and related gene clusters are recognized as relatives of the echinocandins. Inclusion of the acrophiarin gene cluster into a comprehensive phylogenetic analysis of echinocandin gene clusters indicated the divergent evolutionary lineages of echinocandin gene clusters are descendants from a common ancestral progenitor. The minimal 10-gene cluster may have undergone multiple gene acquisitions or losses and possibly horizontal gene transfer after the ancestral separation of the two lineages."
Induction of secondary metabolite production by hygromycin B and identification of the 1233A biosynthetic gene cluster with a self-resistance gene.,32139880,"We found that the protein synthesis inhibitor hygromycin B induced the production of secondary metabolites, including lucilactaene, NG-391, fusarubin, 1233A, and 1233B, in the filamentous fungus, Fusarium sp. RK97-94. We identified the biosynthetic gene cluster for 1233A, an HMG-CoA synthase inhibitor. The biosynthetic gene cluster consisted of four genes, one of which was involved in conferring self-resistance to 1233A."
"Teicoplanin biosynthesis: unraveling the interplay of structural, regulatory, and resistance genes.",32076781,"Teicoplanin (Tcp) is a clinically relevant glycopeptide antibiotic (GPA) that is produced by the actinobacterium Actinoplanes teichomyceticus. Tcp is a front-line therapy for treating severe infections caused by multidrug-resistant Gram-positive pathogens in adults and infants. In this review, we provide a detailed overview of how Tcp is produced by A. teichomyceticus by describing Tcp biosynthesis, regulation, and resistance. We summarize the knowledge gained from in vivo and in vitro studies to provide an integrated model of teicoplanin biosynthesis. Then, we discuss genetic and nutritional factors that contribute to the regulation of teicoplanin biosynthesis, focusing on those that have been successfully applied for improving teicoplanin production. A current view on teicoplanin self-resistance mechanisms in A. teichomyceticus is given, and we compare the Tcp biosynthetic gene cluster with other glycopeptide gene clusters from actinoplanetes and from unidentified isolates/metagenomics samples. Finally, we provide an outlook for further directions in studying Tcp biosynthesis and regulation."
Comparative transcriptomic analysis reveals the significant pleiotropic regulatory effects of LmbU on lincomycin biosynthesis.,32050973,"Lincomycin, produced by Streptomyces lincolnensis, is a lincosamide antibiotic and widely used for the treatment of the infective diseases caused by Gram-positive bacteria. The mechanisms of lincomycin biosynthesis have been deeply explored in recent years. However, the regulatory effects of LmbU that is a transcriptional regulator in lincomycin biosynthetic (lmb) gene cluster have not been fully addressed."
Monasone Naphthoquinone Biosynthesis and Resistance in Monascus Fungi.,32019788,"Despite the important biological activities of natural product naphthoquinones, the biosynthetic pathways of and resistance mechanisms against such compounds remain poorly understood in fungi. Here, we report that the genes responsible for the biosynthesis of Monascus naphthoquinones (monasones) reside within the gene cluster for Monascus azaphilone pigments (MonAzPs). We elucidate the biosynthetic pathway of monasones by a combination of comparative genome analysis, gene knockouts, heterologous coexpression, and in vivo and in vitro enzymatic reactions to show that this pathway branches from the first polyketide intermediate of MonAzPs. Furthermore, we propose that the monasone subset of biosynthetic genes also encodes a two-tiered resistance strategy in which an inducible monasone-specific exporter expels monasones from the mycelia, while residual intracellular monasones may be rendered nontoxic through a multistep reduction cascade.IMPORTANCE The genes for Monascus naphthoquinone (monasone) biosynthesis are embedded in and form a composite supercluster with the Monascus azaphilone pigment biosynthetic gene cluster. Early biosynthetic intermediates are shared by the two pathways. Some enzymes encoded by the supercluster play double duty in contributing to both pathways, while others are specific for one or the other pathway. The monasone subcluster is independently regulated and inducible by elicitation with competing microorganisms. This study illustrates genomic and biosynthetic parsimony in fungi and proposes a potential path for the evolution of the mosaic-like azaphilone-naphthoquinone supercluster. The monasone subcluster also encodes a two-tiered self-resistance mechanism that models resistance determinants that may transfer to target microorganisms or emerge in cancer cells in case of naphthoquinone-type cytotoxic agents."
Recent developments in self-resistance gene directed natural product discovery.,31912842,"Covering: 2000 to 2019Natural products (NPs) are important sources of human therapeutic agents and pesticides. To prevent self-harm from bioactive NPs, some microbial producers employ self-resistance genes to protect themselves. One effective strategy is to employ a self-resistance enzyme (SRE), which is a slightly mutated version of the original metabolic enzyme, and is resistant to the toxic NP but is still functional. The presence of a SRE in a gene cluster can serve as a predictive window to the biological activity of the NPs synthesized by the pathway. In this highlight, we summarize representative examples of NP biosynthetic pathways that utilize self-resistance genes for protection. Recent discoveries based on self-resistance gene identification have helped in bridging the gap between activity-guided and genome-driven approaches for NP discovery and functional assignment."
Three putative DNA replication/repair elements encoding genes confer self-resistance to distamycin in Streptomyces netropsis.,31833535,"Distamycin (DST) is a well-characterized DNA minor groove binder with antivirus activity and antitumor potency. Two separate gene clusters (a 28-kb cluster and a 7-kb cluster) have recently been identified to coordinately encode the biosynthetic machinery of DST in Streptomyces netropsis. Here we report a gene cassette, which is linked to the aforementioned smaller dst gene cluster and plays an important role in the self-resistance to DST in S. netropsis. This cassette consists of three uncharacterized genes that might be implicated in DNA replication/repair. Knockout of the cassette led to the decrease in the production of DST, while heterologous expression of part of the cassette in S. lividans made it become resistant to both DST and mitomycin C, another DNA-binding agent. More interestingly, homologs of these three genes were found in genomes of other actinomyces that produce DNA-binding antibiotics, suggesting that a novel common mechanism in addition to pumping may enable these strains to resist the cytotoxic metabolites they produced."
Divergent Biosynthesis of C-Nucleoside Minimycin and Indigoidine in Bacteria.,31816530,"Minimycin (MIN) is a C-nucleoside antibiotic structurally related to pseudouridine, and indigoidine is a naturally occurring blue pigment produced by diverse bacteria. Although MIN and indigoidine have been known for decades, the logic underlying the divergent biosynthesis of these interesting molecules has been obscure. Here, we report the identification of a minimal 5-gene cluster (min) essential for MIN biosynthesis. We demonstrated that a non-ribosomal peptide synthetase (MinA) governs ""the switch"" for the divergent biosynthesis of MIN and the cryptic indigoidine. We also demonstrated that MinCN (the N-terminal phosphatase domain of MinC), MinD (uracil phosphoribosyltransferase), and MinT (transporter) function together as the safeguard enzymes, which collaboratively constitute an unusual self-resistance system. Finally, we provided evidence that MinD, utilizing an unprecedented substrate-competition strategy for self-resistance of the producer cell, maintains competition advantage over the active molecule MIN-5'-monophosphate by increasing the UMP pool in vivo. These findings greatly expand our knowledge regarding natural product biosynthesis."
Comparison of Antibiotic Resistance Mechanisms in Antibiotic-Producing and Pathogenic Bacteria.,31546630,"Antibiotic resistance poses a tremendous threat to human health. To overcome this problem, it is essential to know the mechanism of antibiotic resistance in antibiotic-producing and pathogenic bacteria. This paper deals with this problem from four points of view. First, the antibiotic resistance genes in producers are discussed related to their biosynthesis. Most resistance genes are present within the biosynthetic gene clusters, but some genes such as paromomycin acetyltransferases are located far outside the gene cluster. Second, when the antibiotic resistance genes in pathogens are compared with those in the producers, resistance mechanisms have dependency on antibiotic classes, and, in addition, new types of resistance mechanisms such as Eis aminoglycoside acetyltransferase and self-sacrifice proteins in enediyne antibiotics emerge in pathogens. Third, the relationships of the resistance genes between producers and pathogens are reevaluated at their amino acid sequence as well as nucleotide sequence levels. Pathogenic bacteria possess other resistance mechanisms than those in antibiotic producers. In addition, resistance mechanisms are little different between early stage of antibiotic use and the present time, e.g., β-lactam resistance in Staphylococcus aureus. Lastly, guanine + cytosine (GC) barrier in gene transfer to pathogenic bacteria is considered. Now, the resistance genes constitute resistome composed of complicated mixture from divergent environments."
The ADEP Biosynthetic Gene Cluster in Streptomyces hawaiiensis NRRL 15010 Reveals an Accessory clpP Gene as a Novel Antibiotic Resistance Factor.,31399403,"The increasing threat posed by multiresistant bacterial pathogens necessitates the discovery of novel antibacterials with unprecedented modes of action. ADEP1, a natural compound produced by Streptomyces hawaiiensis NRRL 15010, is the prototype for a new class of acyldepsipeptide (ADEP) antibiotics. ADEP antibiotics deregulate the proteolytic core ClpP of the bacterial caseinolytic protease, thereby exhibiting potent antibacterial activity against Gram-positive bacteria, including multiresistant pathogens. ADEP1 and derivatives, here collectively called ADEP, have been previously investigated for their antibiotic potency against different species, structure-activity relationship, and mechanism of action; however, knowledge on the biosynthesis of the natural compound and producer self-resistance have remained elusive. In this study, we identified and analyzed the ADEP biosynthetic gene cluster in S. hawaiiensis NRRL 15010, which comprises two NRPSs, genes necessary for the biosynthesis of (4S,2R)-4-methylproline, and a type II polyketide synthase (PKS) for the assembly of highly reduced polyenes. While no resistance factor could be identified within the gene cluster itself, we discovered an additional clpP homologous gene (named clpPADEP) located further downstream of the biosynthetic genes, separated from the biosynthetic gene cluster by several transposable elements. Heterologous expression of ClpPADEP in three ADEP-sensitive Streptomyces species proved its role in conferring ADEP resistance, thereby revealing a novel type of antibiotic resistance determinant.IMPORTANCE Antibiotic acyldepsipeptides (ADEPs) represent a promising new class of potent antibiotics and, at the same time, are valuable tools to study the molecular functioning of their target, ClpP, the proteolytic core of the bacterial caseinolytic protease. Here, we present a straightforward purification procedure for ADEP1 that yields substantial amounts of the pure compound in a time- and cost-efficient manner, which is a prerequisite to conveniently study the antimicrobial effects of ADEP and the operating mode of bacterial ClpP machineries in diverse bacteria. Identification and characterization of the ADEP biosynthetic gene cluster in Streptomyces hawaiiensis NRRL 15010 enables future bioinformatics screenings for similar gene clusters and/or subclusters to find novel natural compounds with specific substructures. Most strikingly, we identified a cluster-associated clpP homolog (named clpPADEP) as an ADEP resistance gene. ClpPADEP constitutes a novel bacterial resistance factor that alone is necessary and sufficient to confer high-level ADEP resistance to Streptomyces across species."
"Expression of the nirS, hzsA, and hdh genes and antibiotic resistance genes in response to recovery of anammox process inhibited by oxytetracycline.",31102817,"The inhibitory effects of oxytetracycline (OTC) on the anaerobic ammonium oxidation (anammox) performance were relieved by employing bio-augmentation (BA) tactics. However, the recovery mechanism was vague. The response of specific anammox activity (SAA), heme c, functional genes, extracellular polymeric substance (EPS) and antibiotics resistance genes (ARGs) to OTC inhibition and BA aid were traced in the present study. The results indicated that response of SAA, heme c content and functional genes, such as nirS, hzsA and hdh to OTC inhibition were not synchronous. The presence of the tetC, tetG, tetX, and intI1 genes enhanced the resistance of anammox sludge to OTC, thus accelerating the performance recovery when aided by BA. A significant correlation existed between number of anammox 16S rRNA gene copies and protein level in the soluble microbial products (SMP), between tetG gene relative abundance and polysaccharose in SMP and between tetG gene relative abundance and protein in bound EPS (EPSs). In nutshell, the current findings provide the first description of a recovery mechanism regarding OTC-inhibited anammox performance aided by BA based on functional genes and highlights the contribution of ARGs and the self-resistance ability of EPS."
Regulation of teicoplanin biosynthesis: refining the roles of tei cluster-situated regulatory genes.,30937499,"Teicoplanin is a frontline glycopeptide antibiotic produced by Actinoplanes teichomyceticus. It is used to treat complicated cases of infection, including pediatric ones, caused by Gram-positive pathogens. There is a steady interest in elucidating the genetic mechanisms determining teicoplanin production, as they would help overproduce known teicoplanins and discover novel glycopeptides. Herein, we investigate the transcriptional organization of the tei biosynthetic gene cluster and the roles of the cluster-situated regulatory genes in controlling teicoplanin production and self-resistance in A. teichomyceticus. We demonstrate that the tei cluster is organized into nine polygenic and nine monogenic transcriptional units. Most of tei biosynthetic genes are subjected to StrR-like Tei15* control, which, in turn, appears to be regulated by LuxR-type Tei16*. Expression of the genes conferring teicoplanin self-resistance in A. teichomyceticus is not co-regulated with antibiotic production. The gene tei31*, coding for a putative DNA binding protein, is not expressed under teicoplanin producing conditions and is dispensable for antibiotic production. Finally, phylogenesis reconstruction of the glycopeptide cluster-encoded regulators reveals two main clades of StrR-like regulators. Tei15* and close orthologues form one of these clades; the second clade is composed by orthologues of Bbr and Dbv4, governing the biosynthesis of balhimycin and teicoplanin-like A40926, respectively. In addition, the LuxR-type Tei16* appears unrelated to the LuxR-like Dbv3, which is controlling A40926 biosynthesis. Our results shed new light on teicoplanin biosynthesis regulation and on the evolution of novel and old glycopeptide biosynthetic gene clusters."
Molecular Basis of Bacillus subtilis ATCC 6633 Self-Resistance to the Phosphono-oligopeptide Antibiotic Rhizocticin.,30830751,"Rhizocticins are phosphono-oligopeptide antibiotics that contain a toxic C-terminal ( Z) -l -2-amino-5-phosphono-3-pentenoic acid (APPA) moiety. APPA is an irreversible inhibitor of threonine synthase (ThrC), a pyridoxal 5'-phosphate (PLP)-dependent enzyme that catalyzes the conversion of O-phospho-l-homoserine to l-threonine. ThrCs are essential for the viability of bacteria, plants, and fungi and are a target for antibiotic development, as de novo threonine biosynthetic pathway is not found in humans. Given the ability of APPA to interfere in threonine metabolism, it is unclear how the producing strain B. subtilis ATCC 6633 circumvents APPA toxicity. Notably, in addition to the housekeeping APPA-sensitive ThrC ( BsThrC), B. subtilis encodes a second threonine synthase (RhiB) encoded within the rhizocticin biosynthetic gene cluster. Kinetic and spectroscopic analyses show that PLP-dependent RhiB is an authentic threonine synthase, converting O-phospho-l-homoserine to threonine with a catalytic efficiency comparable to BsThrC. To understand the structural basis of inhibition, we determined the crystal structure of APPA bound to the housekeeping BsThrC, revealing a covalent complex between the inhibitor and PLP. Structure-based sequence analyses reveal structural determinants within the RhiB active site that contribute to rendering this ThrC homologue resistant to APPA. Together, this work establishes the self-resistance mechanism utilized by B. subtilis ATCC 6633 against APPA exemplifying one of many ways by which bacteria can overcome phosphonate toxicity."
"Antibiotic Resistance Mechanisms in Bacteria: Relationships Between Resistance Determinants of Antibiotic Producers, Environmental Bacteria, and Clinical Pathogens.",30555448,"Emergence of antibiotic resistant pathogenic bacteria poses a serious public health challenge worldwide. However, antibiotic resistance genes are not confined to the clinic; instead they are widely prevalent in different bacterial populations in the environment. Therefore, to understand development of antibiotic resistance in pathogens, we need to consider important reservoirs of resistance genes, which may include determinants that confer self-resistance in antibiotic producing soil bacteria and genes encoding intrinsic resistance mechanisms present in all or most non-producer environmental bacteria. While the presence of resistance determinants in soil and environmental bacteria does not pose a threat to human health, their mobilization to new hosts and their expression under different contexts, for example their transfer to plasmids and integrons in pathogenic bacteria, can translate into a problem of huge proportions, as discussed in this review. Selective pressure brought about by human activities further results in enrichment of such determinants in bacterial populations. Thus, there is an urgent need to understand distribution of resistance determinants in bacterial populations, elucidate resistance mechanisms, and determine environmental factors that promote their dissemination. This comprehensive review describes the major known self-resistance mechanisms found in producer soil bacteria of the genus Streptomyces and explores the relationships between resistance determinants found in producer soil bacteria, non-producer environmental bacteria, and clinical isolates. Specific examples highlighting potential pathways by which pathogenic clinical isolates might acquire these resistance determinants from soil and environmental bacteria are also discussed. Overall, this article provides a conceptual framework for understanding the complexity of the problem of emergence of antibiotic resistance in the clinic. Availability of such knowledge will allow researchers to build models for dissemination of resistance genes and for developing interventions to prevent recruitment of additional or novel genes into pathogens."
